+ .venv/bin/python -m twomove.sweep --stage s2b --materials k_pawns8 --regimes ET --games 512 --nodes 12000 --out experiments/results/ocean --workers 20
1 points, 512 games max
  [s2b-k_pawns8-ET] 267/512 games (2278/h, eta 6m)
  [s2b-k_pawns8-ET] 268/512 games (2280/h, eta 6m)
  [s2b-k_pawns8-ET] 269/512 games (2288/h, eta 6m)
  [s2b-k_pawns8-ET] 270/512 games (2270/h, eta 6m)
  [s2b-k_pawns8-ET] 271/512 games (2276/h, eta 6m)
  [s2b-k_pawns8-ET] 272/512 games (2278/h, eta 6m)
  [s2b-k_pawns8-ET] 273/512 games (2267/h, eta 6m)
  [s2b-k_pawns8-ET] 274/512 games (2253/h, eta 6m)
  [s2b-k_pawns8-ET] 275/512 games (2256/h, eta 6m)
  [s2b-k_pawns8-ET] 276/512 games (2259/h, eta 6m)
  [s2b-k_pawns8-ET] 277/512 games (2260/h, eta 6m)
  [s2b-k_pawns8-ET] 278/512 games (2268/h, eta 6m)
  [s2b-k_pawns8-ET] 279/512 games (2256/h, eta 6m)
  [s2b-k_pawns8-ET] 280/512 games (2261/h, eta 6m)
  [s2b-k_pawns8-ET] 281/512 games (2250/h, eta 6m)
  [s2b-k_pawns8-ET] 282/512 games (2254/h, eta 6m)
  [s2b-k_pawns8-ET] 283/512 games (2247/h, eta 6m)
  [s2b-k_pawns8-ET] 284/512 games (2252/h, eta 6m)
  [s2b-k_pawns8-ET] 285/512 games (2260/h, eta 6m)
  [s2b-k_pawns8-ET] 286/512 games (2265/h, eta 6m)
  [s2b-k_pawns8-ET] 287/512 games (2267/h, eta 6m)
  [s2b-k_pawns8-ET] 288/512 games (2265/h, eta 6m)
  [s2b-k_pawns8-ET] 289/512 games (2266/h, eta 6m)
  [s2b-k_pawns8-ET] 290/512 games (2267/h, eta 6m)
  [s2b-k_pawns8-ET] 291/512 games (2270/h, eta 6m)
  [s2b-k_pawns8-ET] 292/512 games (2263/h, eta 6m)
  [s2b-k_pawns8-ET] 293/512 games (2268/h, eta 6m)
  [s2b-k_pawns8-ET] 294/512 games (2274/h, eta 6m)
  [s2b-k_pawns8-ET] 295/512 games (2279/h, eta 6m)
  [s2b-k_pawns8-ET] 296/512 games (2250/h, eta 6m)
  [s2b-k_pawns8-ET] 297/512 games (2255/h, eta 6m)
